Year	Date	Temperature(F)
1973	0801	88.0
1973	0802	84.9
1973	0803	88.9
1973	0804	93.9
1973	0805	90.0
1973	0806	92.8
1973	0807	91.9
1973	0808	90.0
1973	0809	90.9
1973	0810	93.9
1973	0811	91.9
1973	0812	92.8
1973	0813	92.8
1973	0814	93.9
1973	0815	84.9
1973	0816	91.9
1973	0817	90.9
1973	0818	95.0
1973	0819	91.9
1973	0820	90.0
1973	0821	90.0
1973	0822	81.0
1973	0823	84.9
1973	0824	88.9
1973	0825	90.0
1973	0826	93.9
1973	0827	91.9
1973	0828	88.9
1973	0829	88.9
1973	0830	88.9
1973	0831	79.0
1974	0801	84.9
1974	0802	93.0
1974	0803	90.0
1974	0804	91.9
1974	0805	89.1
1974	0806	84.0
1974	0807	91.0
1974	0808	87.1
1974	0809	88.0
1974	0810	93.0
1974	0811	88.0
1974	0812	88.0
1974	0813	89.1
1974	0814	91.9
1974	0815	93.0
1974	0816	91.0
1974	0817	87.1
1974	0818	89.1
1974	0819	91.0
1974	0820	93.0
1974	0821	88.0
1974	0822	90.0
1974	0823	88.0
1974	0824	93.0
1974	0825	91.9
1974	0826	95.0
1974	0827	93.0
1974	0828	95.0
1974	0829	93.0
1974	0830	93.0
1974	0831	93.0
1975	0801	90.0
1975	0802	91.9
1975	0803	91.0
1975	0804	91.0
1975	0805	91.0
1975	0806	91.9
1975	0807	91.0
1975	0808	93.0
1975	0809	88.0
1975	0810	93.9
1975	0811	91.0
1975	0812	93.9
1975	0813	90.0
1975	0814	93.9
1975	0815	91.9
1975	0816	90.0
1975	0817	91.0
1975	0818	96.1
1975	0819	97.0
1975	0820	93.9
1975	0821	93.0
1975	0822	93.9
1975	0823	96.1
1975	0824	93.9
1975	0825	93.0
1975	0826	95.0
1975	0827	91.9
1975	0828	93.9
1975	0829	88.0
1975	0830	90.0
1975	0831	90.0
1976	0801	91.9
1976	0802	91.0
1976	0803	84.0
1976	0804	82.9
1976	0805	88.0
1976	0806	91.0
1976	0807	95.0
1976	0808	95.0
1976	0809	91.9
1976	0810	93.0
1976	0811	95.0
1976	0812	93.9
1976	0813	90.0
1976	0814	89.1
1976	0815	90.0
1976	0816	91.9
1976	0817	89.1
1976	0818	81.0
1976	0819	84.0
1976	0820	79.0
1976	0821	89.1
1976	0822	93.0
1976	0823	91.0
1976	0824	90.0
1976	0825	91.0
1976	0826	91.9
1976	0827	89.1
1976	0828	91.0
1976	0829	93.0
1976	0830	93.9
1976	0831	88.0
1977	0801	84.9
1977	0802	93.0
1977	0803	95.0
1977	0804	93.9
1977	0805	91.9
1977	0806	93.9
1977	0807	93.0
1977	0808	91.0
1977	0809	91.0
1977	0810	93.9
1977	0811	91.0
1977	0812	90.0
1977	0813	84.9
1977	0814	93.9
1977	0815	93.0
1977	0816	93.9
1977	0817	91.9
1977	0818	86.0
1977	0819	86.0
1977	0820	79.0
1977	0821	82.9
1977	0822	86.0
1977	0823	89.1
1977	0824	86.0
1977	0825	91.0
1977	0826	91.0
1977	0827	82.9
1977	0828	90.0
1977	0829	89.1
1977	0830	89.1
1977	0831	88.0
1978	0801	88.0
1978	0802	89.1
1978	0803	89.1
1978	0804	91.0
1978	0805	90.0
1978	0806	86.0
1978	0807	91.9
1978	0808	87.1
1978	0809	91.9
1978	0810	91.0
1978	0811	88.0
1978	0812	89.1
1978	0813	84.9
1978	0814	91.0
1978	0815	91.9
1978	0816	91.0
1978	0817	93.9
1978	0818	91.9
1978	0819	91.0
1978	0820	93.9
1978	0821	93.0
1978	0822	90.0
1978	0823	90.0
1978	0824	90.0
1978	0825	93.0
1978	0826	93.0
1978	0827	93.9
1978	0828	93.0
1978	0829	93.0
1978	0830	95.0
1978	0831	96.1
1979	0801	88.0
1979	0802	91.0
1979	0803	90.0
1979	0804	93.9
1979	0805	93.9
1979	0806	86.0
1979	0807	91.0
1979	0808	88.0
1979	0809	93.0
1979	0810	86.0
1979	0811	84.9
1979	0812	80.1
1979	0813	86.0
1979	0814	89.1
1979	0815	91.0
1979	0816	91.9
1979	0817	90.0
1979	0818	86.0
1979	0819	93.0
1979	0820	93.9
1979	0821	95.0
1979	0822	93.9
1979	0823	91.0
1979	0824	91.9
1979	0825	91.0
1979	0826	91.9
1979	0827	89.1
1979	0828	93.0
1979	0829	91.0
1979	0830	93.0
1979	0831	91.9
1980	0801	93.9
1980	0802	93.0
